GeneNames,D1,D2,D3,D4,D5,L1,L2,L3,L4,L5,U1,U2,U3,U4,U5
C15orf55,0.029717811,0,0,0.056853721,0.055676827,0.053918559,0,0.027865138,0.052849885,0,0.026030254,0,0,0.027739622,0.025712249
C15orf56,0.10608909,0.051656046,0.190575427,0.101480548,0.198759721,0.192482911,0.14765512,0.646589226,0.47166968,0.328978434,0,0.045396946,0,0,0
C15orf57,8.665730949,10.72310847,9.246488382,8.787892824,9.09426251,4.255763778,5.138768008,4.826419131,4.519031756,5.195468667,5.65002472,5.910787302,6.567856481,8.879533191,4.115282616
C15orf59,0.167737587,0.408367182,0.075329759,0.080225508,0.235694423,0,0,0,0.074575749,0,0,0,0,0,0
C15orf60,0,0,0,0.116565494,0.114152542,0,0,0,0,0,0.106738114,0,0.110663664,0.113747445,0
C15orf61,0.521447918,0.507798451,2.575964112,2.493980312,3.256471908,1.10377151,1.209588007,0.651919627,0.850060043,3.464981031,3.121081699,1.561941946,2.052013201,1.216843328,3.308534054
C15orf62,1.267530293,1.190267333,1.016497948,2.251727017,1.569024402,1.190939696,0.462039949,0.679148399,1.046576297,0.721940626,0.198258545,0.309938987,0.28776997,0.295789038,0.430840228
C16orf11,0,0.049512449,0,0,0.047627921,0.046123837,0,0,0,0,0,0,0,0.047458902,0
C16orf13,90.84667691,90.29815127,63.035942,60.84302493,86.1070293,183.6965815,130.8608145,143.9430776,170.8679565,171.3219538,63.9412129,48.92331565,57.64061862,89.43392848,69.31351987
C16orf3,0.567000293,0.220863377,0.305562965,0.216947851,0.212456945,0.617242734,0.105220365,0.318991357,0.201669632,0.200942562,0.099328728,0.291152444,0,0.105851495,0.196230504
C16orf45,19.68502998,22.49750951,27.49388232,35.72617923,48.06153473,14.88876272,15.98756507,13.94490739,13.01018843,11.08701872,44.09669597,91.44325005,100.0910788,97.53406275,75.16457811
C16orf46,2.329337052,1.923178276,1.091570842,1.646893438,1.470496024,4.731547292,4.040726728,3.656028822,3.377015057,3.140517399,1.774173499,0.736731656,1.057668218,2.599686098,1.139124248
C16orf52,8.424792104,6.103774726,8.228003962,9.029758344,10.95846417,2.117875341,3.060913009,2.617328153,2.640001668,1.551310958,6.690355542,5.060144703,3.871484332,1.98968403,3.973954857
C16orf54,0.086841031,0.084567873,0.07799938,0.08306863,0,0.354510369,0.362596836,0.325708689,0.810795819,0.577051926,0,0,0,0,0
C16orf55,3.63740741,3.581119526,2.477227126,1.797051369,1.684964388,5.62048393,7.677280814,7.945675018,7.890431607,6.197510398,5.91696299,4.447129881,5.00929671,6.417453357,3.492972561
C16orf58,22.48679641,23.48788458,19.94073077,24.59396878,29.36059596,34.24594691,27.52941139,27.1310503,23.15228704,32.93995689,31.09974549,35.34617373,35.20843404,61.52225348,54.09510894
C16orf59,11.70124216,9.844157483,9.45268165,6.225657078,3.437548149,21.29297863,16.44643428,24.34562414,28.07419653,22.94275278,6.671132109,2.251721972,3.898379076,4.71793379,2.815570239
C16orf62,6.484130313,5.553290294,4.549963848,5.759425036,6.26387891,11.00295144,12.14027926,10.99266825,12.406463,16.00357341,11.20695372,16.69742567,17.5338249,13.26688386,12.5477162
C16orf70,8.887435212,9.195721733,8.374569151,9.032697485,9.328886487,8.638356607,10.56566538,9.70986785,8.890500295,9.772414646,8.271170623,9.507632075,10.26881677,6.888506821,8.925345218
C16orf71,0.083310908,0.283955539,0.374143369,0.517997069,0.273147713,0.340099378,0.541111087,0.312468498,0.25927888,0.110718906,0,0.106949567,0.189142441,0.194413131,0.14416343
C16orf72,13.42777532,15.80741228,16.94595834,25.41795704,22.4503825,24.05431701,20.39736048,20.26724159,19.89986113,20.15440261,14.59031417,19.58948376,14.71529145,10.47139709,11.05415402
C16orf74,4.775191764,4.527822346,2.1445047,1.68285747,2.942895809,10.25985415,7.229120028,8.248018808,8.492157552,11.13360683,0,0,0,0,0
C16orf80,47.67229542,46.50944762,34.74108105,30.81852619,30.50773114,51.72232747,63.27191523,53.29651255,51.31828223,42.23716149,37.7035231,37.21248478,36.79073945,47.67744854,35.58095279
C16orf82,0,0,0,0,0.046536404,0,0,0,0,0,0,0,0,0,0
C16orf86,1.5988604,1.557008489,2.154110544,2.973843874,1.664162358,1.772769125,0.494510842,0.832879981,0.868816293,1.101779626,3.034339995,1.900482855,1.774630074,1.82408235,3.842654083
C16orf87,5.78676481,4.444735731,4.319124034,6.548907376,6.718739655,43.99323577,46.13110356,56.62915398,43.33870175,20.94132426,5.85400284,8.788888089,8.289772669,4.716858973,5.500413398
C16orf88,15.60733729,14.52329611,10.22815873,9.621136562,12.50848435,24.75132814,16.73424688,21.73470785,24.10655356,21.25405544,13.46816045,14.00030167,11.33876928,17.2662788,9.802669684
C16orf89,0,0.057561142,0,0.339244097,0.166110805,0.214486725,0.10968961,0.110846848,0.105117784,0.157108212,0.103547724,0,0.05367797,0.055173774,0
C16orf90,0,0,0,0,0.116804316,0,0,0,0.11087368,0,0,0,0,0.116389808,0
C16orf91,12.56282489,11.2238342,11.07670954,13.22982603,12.95596339,12.12858832,14.97184664,16.96699154,13.83540279,11.53899307,8.379160207,6.707421945,3.767995925,6.347409816,3.689655157
C16orf92,0,0,0.113120889,0,0,0,0,0,0,0,0,0,0,0,0
C16orf93,0.062901595,0.122510155,0.169491957,0.120338261,0,0.171188415,0.058364421,0,0.111863624,0.111460327,0,0,0,0.058714501,0
C16orf95,0.970884222,1.418205407,1.569661947,1.300192205,1.728019751,10.56915208,5.585289117,4.642821661,6.302132561,7.483682545,2.721316251,3.905271281,2.733230464,2.900020987,4.200110277
C16orf96,0.032901243,0,0,0,0,0,0,0,0,0,0.028818668,0,0,0,0
